,Model,seed,rho,SINR,SNR,SNRinp,actual_error,theoretical_bounds,off_diagonal_norms,execution_time
0,PredictiveDecorrBSS,0,0.0,25.82375052345212,"[array([24.79158607, 25.73788327, 26.07192786, 25.94898238, 26.81005204])]",30,"[array([1.00000000e-16, 5.81061504e-03, 4.90188627e-04, 1.59798581e-03,
       3.56555596e-03, 4.56618007e-03, 2.43687740e-03, 4.02988895e-03,
       4.03195391e-04, 8.57796034e-04, 3.23396694e-03, 6.39246953e-03,
       2.65951554e-04, 2.81619343e-03, 4.10238644e-03, 4.31624456e-03,
       2.33195182e-03, 9.10848613e-05, 2.15408242e-03, 2.41412564e-03,
       4.46287881e-03, 3.47819420e-03, 7.04787393e-06, 2.98910746e-04,
       1.02587051e-04, 5.78335453e-04, 2.75496275e-04, 3.48681298e-03,
       6.27880097e-03, 2.87760098e-03, 2.14555259e-04, 1.18766602e-03,
       4.70915392e-03, 1.62810936e-03, 5.32162980e-03, 4.31207997e-04,
       1.18226632e-03, 2.83658288e-04, 2.88949931e-04, 2.29359074e-04])]","[array([1.00000000e-16, 3.94813899e-02, 1.00495980e-02, 1.12843924e-02,
       1.53803080e-02, 4.14813306e-02, 2.04492330e-02, 3.37623673e-02,
       1.58297275e-03, 1.33719037e-02, 3.42913855e-02, 3.89896346e-02,
       4.74315271e-03, 5.93553642e-02, 4.70949641e-02, 2.84363183e-02,
       4.15133515e-02, 5.48712445e-03, 1.36679677e-02, 3.95456277e-02,
       1.17397198e-01, 2.13959048e-02, 3.85580859e-03, 1.12745592e-02,
       6.08815894e-03, 3.04003857e-02, 8.35951326e-03, 2.50681810e-02,
       6.97513115e-02, 2.77207629e-02, 1.47041061e-02, 4.93583205e-03,
       3.69600314e-02, 4.17525989e-02, 5.76505495e-02, 3.11762134e-03,
       1.11927694e-02, 3.97204336e-02, 1.40441509e-02, 7.92578507e-03])]","[array([0.        , 0.13628164, 0.10940814, 0.10534182, 0.11716287,
       0.16254364, 0.14135616, 0.13848949, 0.06042185, 0.11073383,
       0.16742927, 0.1507819 , 0.08825683, 0.1679882 , 0.15729015,
       0.14224492, 0.16711082, 0.08491028, 0.11652382, 0.15543672,
       0.20633467, 0.13080383, 0.08974062, 0.11260285, 0.09684262,
       0.14305185, 0.11409932, 0.14239352, 0.18182564, 0.14241026,
       0.11750817, 0.08082113, 0.15359804, 0.1644865 , 0.16513334,
       0.07463078, 0.114907  , 0.15395506, 0.11080436, 0.09848945])]",25.299805473012384
1,PredictiveDecorrBSS,100,0.0,25.523561536345433,"[array([25.45631753, 27.25799629, 26.0644618 , 26.1799591 , 23.56784029])]",30,"[array([1.00000000e-16, 1.06203355e-01, 1.14765028e-02, 2.59943169e-03,
       3.83027619e-04, 1.39423206e-03, 3.02403931e-03, 1.18846551e-02,
       1.35300109e-03, 1.45708812e-02, 8.29803362e-04, 1.17258583e-03,
       2.84147642e-04, 1.91157243e-04, 4.05868049e-04, 2.64460663e-03,
       3.63762610e-04, 3.48579815e-03, 3.11171954e-03, 2.65578103e-03,
       3.83866962e-03, 2.03053009e-03, 2.29222236e-03, 7.43088507e-04,
       1.92100425e-03, 2.14088253e-03, 4.59037163e-03, 5.93870177e-04,
       2.58333599e-04, 2.42878940e-03, 7.66991547e-04, 3.31608625e-04,
       2.60633445e-03, 5.73724265e-03, 3.11778123e-04, 9.35474277e-04,
       2.09692457e-03, 5.98867094e-04, 6.46349006e-04, 5.75485835e-05])]","[array([1.00000000e-16, 6.03207214e+00, 1.52235363e-01, 2.25094137e-02,
       6.00694226e-03, 2.61322176e-02, 2.15475105e-02, 1.08483354e-01,
       8.31034444e-03, 1.22986167e-01, 6.94986007e-03, 9.64907774e-03,
       3.68982947e-03, 1.28209860e-03, 2.60095111e-02, 7.29526045e-02,
       2.25880525e-02, 3.23250853e-02, 4.46588829e-02, 1.84041507e-02,
       2.56544145e-02, 2.48237452e-02, 1.60140311e-02, 8.42581860e-03,
       4.23519248e-02, 2.18200010e-02, 2.17123432e-02, 3.66837658e-02,
       2.36786937e-02, 1.08953757e-02, 1.29420424e-02, 1.54499937e-02,
       2.07057645e-02, 3.73113193e-02, 1.64790313e-02, 1.71185481e-02,
       1.86981976e-02, 7.09640206e-03, 1.23683674e-02, 1.32671922e-02])]","[array([0.        , 0.17347245, 0.17021415, 0.14183397, 0.09541483,
       0.14043612, 0.13412476, 0.19521241, 0.10165027, 0.20558257,
       0.09644284, 0.1066694 , 0.08071036, 0.06137876, 0.14395115,
       0.18175288, 0.13211195, 0.14286989, 0.16467654, 0.13127576,
       0.14802368, 0.14682074, 0.11752974, 0.11509514, 0.16225461,
       0.13796517, 0.12302342, 0.17002054, 0.14217111, 0.10224273,
       0.11784905, 0.1146169 , 0.12804289, 0.16435067, 0.12955425,
       0.12240862, 0.13427377, 0.09822166, 0.11791437, 0.11319058])]",8.169292940001469
2,PredictiveDecorrBSS,200,0.0,25.728781167858997,"[array([26.08925176, 25.34006819, 25.36700039, 26.20035016, 25.71464069])]",30,"[array([1.00000000e-16, 5.79111997e-03, 2.28634962e-03, 8.72393942e-03,
       8.14597104e-03, 2.34736705e-03, 4.00245432e-03, 4.09832914e-03,
       2.95630643e-04, 3.68356834e-04, 9.67130525e-03, 2.90937862e-05,
       1.20754232e-03, 3.77138651e-04, 1.23742819e-04, 4.59605502e-03,
       7.11043076e-04, 1.18037197e-02, 1.04939003e-03, 8.78342021e-04,
       4.01083983e-04, 2.58990028e-04, 4.63014552e-03, 4.46694759e-04,
       7.16209248e-04, 2.07417914e-03, 2.77102004e-04, 2.07832863e-03,
       2.54300269e-03, 8.63306659e-05, 1.57659174e-04, 6.65919610e-04,
       1.59622157e-03, 2.31455370e-03, 1.38068879e-03, 9.88170247e-05,
       1.42754445e-03, 7.23074579e-04, 1.08734623e-03, 1.85865643e-03])]","[array([1.00000000e-16, 4.91673833e-02, 1.61993193e-02, 6.08234676e-02,
       5.20970575e-02, 9.91759875e-03, 1.98114456e-02, 1.72914513e-02,
       1.08718586e-02, 4.12420575e-03, 8.50727205e-02, 2.74720131e-02,
       1.42049710e-02, 3.93802297e-02, 1.72117167e-02, 4.98283927e-02,
       2.08213852e-02, 7.20955191e-02, 3.46035469e-02, 1.13856985e-02,
       3.71870030e-03, 2.94683604e-03, 3.15759412e-02, 1.93164959e-02,
       9.31467757e-03, 2.85295059e-02, 5.10581035e-03, 4.25684045e-02,
       4.62080691e-02, 1.16280436e-02, 6.44306351e-03, 1.67860785e-02,
       1.27290194e-02, 1.28744181e-02, 1.04948536e-02, 2.65552343e-03,
       1.26681104e-02, 2.60869697e-02, 1.24136557e-02, 1.48932639e-02])]","[array([0.        , 0.11257222, 0.10454368, 0.17795777, 0.15773735,
       0.1035471 , 0.12714126, 0.11895166, 0.10975447, 0.08751385,
       0.20118892, 0.13075552, 0.11232659, 0.16626527, 0.12176964,
       0.16305973, 0.13696484, 0.15215963, 0.1563119 , 0.11623275,
       0.08222997, 0.07681389, 0.14174904, 0.13749011, 0.10619674,
       0.13953533, 0.09393139, 0.15475019, 0.17568527, 0.1159104 ,
       0.10060245, 0.12615548, 0.11356871, 0.11876412, 0.1006647 ,
       0.07999161, 0.1111333 , 0.14331279, 0.12075303, 0.12591459])]",9.264475417032372
3,PredictiveDecorrBSS,300,0.0,26.355810743317566,"[array([25.24110076, 26.9081508 , 28.21699279, 26.44384025, 25.58926722])]",30,"[array([1.00000000e-16, 2.58569038e-01, 2.00580709e-03, 6.08111254e-03,
       7.39682056e-03, 1.29933376e-04, 1.66505624e-03, 4.53029883e-04,
       1.82939634e-03, 3.46160676e-05, 7.44972846e-05, 3.72927847e-03,
       4.74704909e-03, 4.69794110e-03, 2.83816242e-03, 1.05838404e-03,
       8.19720415e-04, 7.98338313e-04, 1.19878058e-03, 1.00589711e-03,
       2.14825309e-03, 2.80443021e-03, 2.60990842e-03, 5.11643948e-04,
       1.38034628e-03, 7.57317822e-04, 2.81695110e-03, 1.43347575e-03,
       4.75892991e-03, 1.58716129e-03, 1.34810479e-03, 6.09247635e-04,
       6.43388968e-04, 1.21056717e-03, 1.31772321e-04, 1.08281812e-03,
       5.03761160e-04, 4.85673016e-04, 1.58339290e-04, 2.25874158e-03])]","[array([1.00000000e-16, 1.55663640e+01, 5.95557946e-01, 2.30054145e-02,
       3.95907449e-02, 2.04279612e-02, 3.58808866e-02, 1.00974572e-02,
       1.32864040e-02, 6.06812092e-03, 1.26730543e-02, 2.63757224e-02,
       2.94235059e-02, 2.46967611e-02, 2.29941126e-02, 4.37254560e-03,
       6.87256201e-03, 5.18524075e-03, 1.35037024e-02, 7.67243131e-03,
       1.52451118e-02, 2.09718066e-02, 3.36276471e-02, 3.13153889e-03,
       1.85869061e-02, 1.25963482e-02, 4.27955317e-02, 6.30303107e-03,
       2.55136143e-02, 1.70135628e-02, 2.88844435e-02, 4.31395776e-03,
       5.57192514e-03, 1.75890142e-02, 1.14813759e-02, 7.58985882e-03,
       1.00014972e-02, 4.87097781e-03, 2.29357958e-03, 3.50739517e-02])]","[array([0.        , 0.22840576, 0.15604504, 0.11813507, 0.15529731,
       0.13697251, 0.16732616, 0.11303365, 0.12378265, 0.0944871 ,
       0.11863019, 0.13594176, 0.13672199, 0.12390933, 0.14353077,
       0.08131684, 0.09908266, 0.09631537, 0.12450332, 0.09778988,
       0.12615415, 0.12756003, 0.15830196, 0.07389337, 0.13189732,
       0.10784321, 0.16025799, 0.08509741, 0.13845827, 0.13726764,
       0.14650245, 0.08487453, 0.09426195, 0.1300087 , 0.1135451 ,
       0.09830426, 0.11225559, 0.08871804, 0.06705111, 0.14850919])]",9.137427088979166
4,PredictiveDecorrBSS,400,0.0,26.920357383827202,"[array([26.9576509 , 29.11678268, 25.76454092, 26.08321469, 27.43347812])]",30,"[array([1.00000000e-16, 8.03514243e-02, 1.91841125e-03, 4.79969647e-03,
       1.66953941e-03, 3.04642151e-03, 2.18244132e-04, 1.14844289e-03,
       1.04314601e-03, 2.66261108e-03, 3.31095467e-04, 2.88378438e-05,
       3.24130128e-04, 1.01205540e-03, 1.61597986e-03, 1.90592952e-03,
       4.38129940e-04, 2.24125159e-03, 4.27366147e-03, 5.35810421e-03,
       1.07133259e-03, 2.03661654e-03, 3.50454759e-04, 1.84850691e-04,
       5.78478568e-04, 7.35691271e-04, 1.39517339e-03, 9.39534647e-04,
       2.66538782e-03, 5.39616045e-04, 7.86885303e-04, 2.32107590e-03,
       1.92010353e-03, 2.15327956e-03, 2.39375492e-04, 2.57242725e-04,
       1.98835776e-04, 1.83232267e-04, 1.61391542e-03, 5.50814351e-04])]","[array([1.00000000e-16, 2.67707254e+00, 2.05605108e-02, 4.27701280e-02,
       8.44338790e-03, 2.32128531e-02, 2.81160292e-02, 6.47517065e-03,
       4.19816025e-02, 1.63216693e-02, 6.76305239e-02, 1.06458473e-02,
       1.57474975e-02, 1.39663429e-02, 1.28622406e-02, 2.03433926e-02,
       1.00814844e-02, 1.27982549e-02, 2.20971494e-02, 3.73439562e-02,
       8.26495262e-03, 1.37322464e-02, 7.27218402e-03, 1.06360409e-02,
       2.86509654e-03, 7.99194812e-03, 2.08909486e-02, 2.21586128e-02,
       2.76650523e-02, 5.37698499e-03, 9.33312343e-03, 2.42987368e-02,
       9.29908121e-03, 2.85108472e-02, 4.30204739e-03, 1.61072187e-02,
       1.23224374e-02, 2.18765951e-03, 1.14899646e-02, 6.69816909e-03])]","[array([0.        , 0.18245674, 0.1188744 , 0.16311728, 0.09924416,
       0.13476511, 0.14957488, 0.09630948, 0.14640697, 0.11660501,
       0.17761559, 0.11178465, 0.13178352, 0.13097224, 0.11396931,
       0.127043  , 0.10792074, 0.11807718, 0.13582115, 0.15081246,
       0.09865658, 0.1130789 , 0.10915529, 0.11651692, 0.07405353,
       0.10355313, 0.13651409, 0.12999719, 0.16029443, 0.08871739,
       0.12143293, 0.13079112, 0.10478984, 0.14156799, 0.08972847,
       0.12936864, 0.12611724, 0.07246765, 0.10986029, 0.10097101])]",9.216864788031671
5,PredictiveDecorrBSS,500,0.0,24.433883623062425,"[array([24.5664296 , 24.83268646, 25.39647437, 23.39821418, 24.22984443])]",30,"[array([1.00000000e-16, 9.62115285e-02, 2.55978042e-02, 1.58528387e-02,
       1.18056767e-02, 1.50397416e-02, 1.77970733e-03, 3.36467411e-03,
       4.39229584e-03, 7.39144701e-04, 4.41185362e-04, 1.18187908e-03,
       9.90609372e-04, 3.14494055e-04, 1.48098781e-04, 2.05222383e-04,
       1.03358960e-03, 4.98743826e-04, 4.31052703e-03, 2.30183913e-03,
       1.30060540e-03, 1.77999152e-03, 2.62047602e-03, 6.67138416e-04,
       5.81965347e-05, 9.12576827e-04, 2.17198848e-03, 3.52745312e-03,
       1.11005273e-04, 7.25364775e-04, 3.49774390e-03, 6.91430148e-04,
       1.01963869e-03, 9.42910938e-04, 4.01874567e-04, 2.41068761e-05,
       1.21739978e-04, 5.22480759e-03, 1.23292449e-03, 5.09227231e-04])]","[array([1.00000000e-16, 3.27298755e+00, 3.06501356e-01, 1.39120842e-01,
       2.12437742e-01, 1.03249667e-01, 7.62250957e-03, 5.19589017e-02,
       3.69999462e-02, 1.68675958e-02, 1.12503839e-02, 5.01394430e-03,
       2.36356529e-02, 6.91552204e-03, 5.74080162e-03, 7.73997246e-03,
       1.94978924e-02, 5.92229767e-03, 2.11587095e-02, 3.05678833e-02,
       1.76879069e-02, 5.24301269e-02, 1.30909372e-02, 7.00064132e-03,
       1.10900322e-02, 5.75197435e-03, 2.42997379e-02, 3.65478401e-02,
       1.68050457e-03, 1.32126634e-02, 2.47915773e-02, 6.51816316e-03,
       5.06943594e-03, 1.46747953e-02, 2.64924086e-02, 4.66395782e-03,
       1.52006824e-02, 3.38942981e-02, 1.68923461e-02, 1.90986321e-02])]","[array([0.        , 0.21040037, 0.14297968, 0.15407778, 0.19937156,
       0.16452625, 0.08795409, 0.16133649, 0.14098904, 0.1196769 ,
       0.11230172, 0.08155106, 0.13934037, 0.09756227, 0.09745958,
       0.09039739, 0.14035006, 0.0875993 , 0.12414086, 0.14333879,
       0.12983765, 0.15449707, 0.10951549, 0.09923165, 0.12200539,
       0.08872027, 0.14016151, 0.16606462, 0.06821599, 0.13616375,
       0.13752734, 0.09429077, 0.08693228, 0.11295795, 0.14181824,
       0.09158617, 0.12456779, 0.14871976, 0.13512823, 0.12582375])]",9.138526698981877
6,PredictiveDecorrBSS,600,0.0,24.396681662280677,"[array([24.45114192, 23.42855052, 25.76315798, 23.01229214, 26.19964744])]",30,"[array([1.00000000e-16, 1.97227620e-01, 2.15667170e-03, 1.27318834e-03,
       2.48156923e-04, 1.23052423e-04, 2.32004843e-03, 2.18857048e-03,
       4.51521930e-05, 5.42809606e-03, 2.90487013e-04, 9.46401348e-04,
       1.87665704e-03, 3.39345122e-03, 2.48472512e-03, 1.16666753e-03,
       4.56565366e-03, 5.55087633e-04, 1.45431970e-03, 1.38116832e-03,
       1.35691870e-03, 6.45728416e-04, 1.44853679e-03, 1.22031818e-02,
       9.97846696e-04, 1.00436770e-03, 9.13910561e-04, 2.18641527e-04,
       9.06021562e-04, 8.03197407e-04, 2.12376825e-03, 1.40465955e-03,
       6.03922984e-04, 5.18611889e-03, 3.72332453e-04, 2.42183438e-03,
       3.33714418e-05, 1.55796262e-03, 1.44700579e-03, 4.44304306e-03])]","[array([1.00000000e-16, 1.39064118e+01, 3.26719996e-02, 5.10073618e-02,
       1.92470204e-02, 7.62824890e-03, 1.15011870e-02, 2.41306660e-02,
       9.79978244e-04, 3.82237006e-02, 1.51352076e-02, 4.16428248e-02,
       2.08056368e-02, 4.05167239e-02, 1.24984660e-02, 7.62428985e-03,
       5.02313017e-02, 2.02692167e-02, 7.03659858e-03, 6.35508332e-03,
       1.52426109e-02, 1.76945638e-02, 1.87205921e-02, 5.02482629e-02,
       1.64551860e-02, 1.01211537e-02, 6.80651112e-03, 4.26785317e-03,
       9.77968822e-03, 1.40216245e-02, 1.88852955e-02, 1.34801015e-02,
       8.70626505e-03, 4.58049044e-02, 2.21503943e-03, 1.43317123e-02,
       3.56824288e-03, 1.44428962e-02, 1.85552111e-02, 3.00883941e-02])]","[array([0.        , 0.2448286 , 0.13355982, 0.1583251 , 0.12846524,
       0.10446702, 0.11041189, 0.14976264, 0.06098103, 0.15010313,
       0.12223931, 0.16175049, 0.13606791, 0.158167  , 0.11332596,
       0.10010126, 0.16348596, 0.13441935, 0.09834806, 0.08722323,
       0.11266142, 0.12270281, 0.12342145, 0.15164598, 0.11393847,
       0.10316181, 0.10077094, 0.08058159, 0.11081949, 0.1200433 ,
       0.14041328, 0.11498654, 0.10028135, 0.15270151, 0.07643154,
       0.11236241, 0.07860072, 0.12094611, 0.13069366, 0.13928059])]",8.630000631965231
7,PredictiveDecorrBSS,700,0.0,25.109741301391125,"[array([24.45829044, 28.27115029, 23.79142103, 26.59314503, 24.02407217])]",30,"[array([1.00000000e-16, 9.48209739e-01, 1.41577110e-02, 6.12085411e-04,
       1.28265753e-03, 5.64945543e-03, 6.45039920e-04, 3.64258547e-04,
       4.84022349e-04, 4.88091050e-04, 5.26441005e-03, 1.67747134e-04,
       5.30839001e-03, 3.26671672e-03, 2.72023951e-04, 1.35294473e-03,
       4.82405731e-04, 3.02920509e-03, 1.00470825e-03, 8.92922742e-04,
       3.98996628e-04, 2.72786225e-03, 1.57084003e-03, 7.95190701e-04,
       9.52613738e-04, 9.04521303e-04, 6.07614970e-04, 1.28757778e-03,
       1.79104650e-03, 7.61437085e-04, 1.22412176e-03, 5.36885981e-04,
       5.81748387e-03, 2.50186270e-03, 3.92316967e-03, 4.86562518e-04,
       9.95030041e-05, 1.70697879e-03, 2.28658220e-05, 4.20502344e-04])]","[array([1.00000000e-16, 7.25656370e+02, 2.38337997e-01, 9.21837098e-03,
       9.09137869e-03, 4.98097079e-02, 3.51594016e-03, 2.26789827e-02,
       7.24256073e-03, 3.94369908e-03, 3.75993640e-02, 3.62931498e-02,
       4.62534951e-02, 5.44501252e-02, 1.05674461e-02, 1.48888312e-02,
       6.79005154e-03, 2.49502856e-02, 1.21739120e-02, 1.97380386e-02,
       1.15741106e-02, 2.21793291e-02, 9.98694198e-03, 2.33014361e-02,
       1.27080577e-02, 3.54339569e-03, 7.72787330e-03, 3.17017253e-02,
       1.16720955e-02, 8.42233523e-03, 5.29126580e-02, 7.19237893e-03,
       3.37363256e-02, 2.12379396e-02, 3.64235458e-02, 8.23577836e-03,
       1.24290624e-02, 2.04776885e-02, 1.54776142e-02, 1.21687245e-02])]","[array([0.        , 0.27050766, 0.16967999, 0.1005158 , 0.10172737,
       0.16590286, 0.07532656, 0.1501907 , 0.10093126, 0.0759703 ,
       0.15248643, 0.1330311 , 0.15191594, 0.17324811, 0.10370632,
       0.12257299, 0.10414811, 0.12921332, 0.12136717, 0.14305558,
       0.1236451 , 0.14881688, 0.11344663, 0.14114181, 0.11744577,
       0.07643526, 0.10610438, 0.14316253, 0.10259774, 0.09831375,
       0.15625931, 0.10036976, 0.12883875, 0.13198754, 0.14317171,
       0.10101086, 0.12238405, 0.13453471, 0.12334327, 0.11541784])]",8.62206398503622
8,PredictiveDecorrBSS,800,0.0,25.414988466902724,"[array([26.1380737 , 24.90664903, 25.76068523, 24.34368769, 26.24974799])]",30,"[array([1.00000000e-16, 1.29370631e-01, 2.12539551e-02, 1.28800554e-03,
       3.99005799e-04, 4.19183359e-05, 4.43149739e-04, 8.13238826e-05,
       6.00287253e-04, 2.56205780e-03, 6.31492603e-04, 2.34104561e-03,
       2.87176312e-03, 5.30246358e-04, 4.00161815e-04, 6.87426638e-03,
       8.77950291e-04, 1.90165594e-04, 2.11722178e-03, 4.18196992e-04,
       2.42960686e-04, 1.08507551e-03, 4.96765065e-04, 2.71917987e-04,
       3.78318556e-04, 1.57575619e-03, 1.85123015e-03, 3.39248079e-05,
       3.19294397e-04, 6.74846018e-04, 2.73363975e-05, 7.69456836e-04,
       7.73976094e-04, 3.50814240e-03, 2.03244234e-03, 1.29541644e-03,
       8.47858027e-04, 2.46354462e-03, 2.41894106e-04, 9.18672089e-04])]","[array([1.00000000e-16, 7.96832704e+00, 3.33324637e-01, 1.93302732e-02,
       4.48999877e-03, 1.52438180e-03, 4.75826164e-03, 6.07547892e-04,
       3.28050102e-03, 2.09570128e-02, 1.32289690e-02, 2.46510409e-02,
       1.89491849e-02, 7.29961232e-03, 6.75340958e-03, 3.66751524e-02,
       1.41479533e-02, 4.28405264e-03, 1.86136561e-02, 1.26187216e-02,
       1.55230114e-02, 8.55608035e-03, 2.76652330e-03, 9.75595848e-03,
       1.10041659e-02, 3.41093731e-02, 4.46089302e-02, 6.86656897e-03,
       7.80680359e-03, 7.02928431e-03, 6.74802429e-03, 2.50605193e-02,
       1.65825242e-02, 5.76903354e-02, 1.85299802e-02, 1.17835428e-02,
       2.38863032e-02, 3.96774538e-02, 9.06607850e-03, 1.10148900e-02])]","[array([0.        , 0.20159845, 0.18629183, 0.12473025, 0.09464947,
       0.06079594, 0.09295103, 0.0488627 , 0.07925112, 0.12973768,
       0.12307492, 0.14160607, 0.12701314, 0.10361849, 0.09917126,
       0.14427476, 0.11642298, 0.08810746, 0.12941673, 0.11338231,
       0.1331943 , 0.10690257, 0.07784367, 0.10253392, 0.11964765,
       0.16532843, 0.15554455, 0.10142372, 0.10705795, 0.10136375,
       0.09889726, 0.16567197, 0.12180394, 0.15180162, 0.13584907,
       0.11984678, 0.13739139, 0.15427835, 0.1076158 , 0.11556463])]",12.360026718000881
9,PredictiveDecorrBSS,900,0.0,26.101856545492467,"[array([24.03632505, 28.80816317, 25.72044679, 26.24702491, 27.1007519 ])]",30,"[array([1.00000000e-16, 9.73862599e-04, 4.06280253e-04, 1.31506843e-03,
       2.34195277e-03, 2.45053405e-03, 3.33533489e-03, 5.68887024e-04,
       1.75037204e-03, 3.86813696e-04, 1.85472931e-04, 6.18087070e-03,
       8.13719122e-05, 4.28363449e-03, 1.14365494e-03, 5.98845464e-04,
       9.46592078e-04, 1.01511203e-03, 1.42063727e-05, 2.49306366e-03,
       3.02339013e-04, 1.80641567e-03, 6.82862215e-06, 1.00303643e-02,
       7.67496295e-05, 5.17264039e-03, 9.46747791e-04, 2.35593613e-04,
       3.11234805e-05, 1.95083046e-04, 3.87456256e-03, 5.66792973e-04,
       1.46002715e-03, 6.04069663e-04, 1.17460732e-03, 3.78976000e-04,
       6.80201230e-04, 9.87094857e-04, 2.75420981e-03, 2.59586193e-03])]","[array([1.00000000e-16, 1.00912157e-01, 6.57873463e-03, 2.27381995e-02,
       1.61942236e-02, 2.29166445e-02, 7.56309881e-02, 2.49657667e-02,
       1.43267122e-02, 4.22352303e-03, 1.12994198e-02, 6.14977254e-02,
       2.39306778e-03, 2.61362856e-02, 2.11139178e-02, 7.24166969e-03,
       2.61752805e-02, 4.76224802e-03, 1.10643452e-03, 3.00184957e-02,
       2.29114178e-02, 1.26144160e-02, 3.06674631e-03, 7.02952991e-02,
       8.90696563e-03, 2.90804800e-02, 2.63111875e-02, 1.09650904e-02,
       8.72747330e-04, 1.68554471e-03, 3.46374890e-02, 1.57044772e-02,
       3.58017085e-02, 1.10084836e-02, 1.92238616e-02, 4.31492765e-03,
       1.07745214e-02, 7.75788204e-03, 1.75254471e-02, 1.22302561e-02])]","[array([0.        , 0.15852093, 0.09058227, 0.14035666, 0.10933854,
       0.13103687, 0.18914635, 0.12884193, 0.12053981, 0.08666395,
       0.11251806, 0.17575795, 0.06896732, 0.13441225, 0.14311399,
       0.09821837, 0.13882435, 0.08515435, 0.05380345, 0.14719406,
       0.13476641, 0.11181823, 0.08328043, 0.16811539, 0.10627122,
       0.1484201 , 0.14902594, 0.1125531 , 0.0582435 , 0.06210615,
       0.14233609, 0.12165001, 0.16047858, 0.11790592, 0.13218282,
       0.07872779, 0.12271874, 0.10849551, 0.13118628, 0.1062922 ])]",8.680412130022887
