,Model,seed,rho,SINR,SNR,SNRinp,actual_error,theoretical_bounds,off_diagonal_norms,execution_time
0,PredictiveDecorrBSS,0,0.0,25.81168870358928,"[array([24.87335484, 25.71915187, 25.98228573, 25.86513778, 26.83983815])]",30,"[array([4.89300140e-01, 6.01111620e-03, 5.09216953e-04, 1.54368617e-03,
       3.55403941e-03, 4.58294714e-03, 2.41440166e-03, 4.00206846e-03,
       4.00754188e-04, 8.59746288e-04, 3.24541428e-03, 6.33827731e-03,
       2.63007337e-04, 2.79978891e-03, 4.06691408e-03, 4.33598153e-03,
       2.39188517e-03, 8.27687510e-05, 2.15438644e-03, 2.39824354e-03,
       4.49933876e-03, 3.51858819e-03, 9.42261252e-06, 2.97031206e-04,
       1.14726066e-04, 5.83048952e-04, 2.72958755e-04, 3.49977383e-03,
       6.32278115e-03, 2.85990163e-03, 2.07488866e-04, 1.18841596e-03,
       4.70015190e-03, 1.63299729e-03, 5.33293578e-03, 4.37935076e-04,
       1.17922228e-03, 2.74764627e-04, 2.96970013e-04, 2.30173020e-04])]","[array([2.41756914e+02, 3.69869900e-02, 9.79793854e-03, 1.12633472e-02,
       1.53344812e-02, 4.11284096e-02, 2.01603238e-02, 3.37302281e-02,
       1.58664693e-03, 1.34363222e-02, 3.43464971e-02, 3.85906205e-02,
       4.76782632e-03, 5.92365623e-02, 4.70961241e-02, 2.86024100e-02,
       4.18023860e-02, 5.46576753e-03, 1.36500481e-02, 3.93475100e-02,
       1.17181826e-01, 2.15420598e-02, 3.88194745e-03, 1.12652591e-02,
       6.13155081e-03, 3.02219779e-02, 8.33830927e-03, 2.51363918e-02,
       6.98960864e-02, 2.76313881e-02, 1.47327066e-02, 4.94514886e-03,
       3.69580852e-02, 4.17421081e-02, 5.76916842e-02, 3.12442052e-03,
       1.11417614e-02, 3.98034600e-02, 1.41537818e-02, 7.92242069e-03])]","[array([0.68687964, 0.13175938, 0.10871194, 0.10545399, 0.11714607,
       0.16231924, 0.1407711 , 0.13851611, 0.06047687, 0.11090142,
       0.1675093 , 0.15038461, 0.08839955, 0.16795444, 0.15729613,
       0.14246885, 0.16739684, 0.08482487, 0.1164529 , 0.15523901,
       0.20632768, 0.1309222 , 0.08982498, 0.11262939, 0.09708342,
       0.1429146 , 0.11401426, 0.14234225, 0.18194295, 0.14235984,
       0.11760901, 0.08087885, 0.15360704, 0.16458978, 0.16521858,
       0.07460936, 0.1147708 , 0.15410341, 0.11102565, 0.09846556])]",25.284704594989307
1,PredictiveDecorrBSS,100,0.0,25.34868417611233,"[array([25.48132963, 27.45010253, 22.12564237, 26.14391404, 28.38686159])]",30,"[array([1.17247270e+00, 2.24421352e-01, 2.43771524e-02, 2.79787715e-03,
       8.27100551e-04, 3.97969537e-04, 2.69836872e-03, 1.03705546e-02,
       1.77453588e-03, 1.19387027e-02, 8.15381996e-04, 1.35853484e-03,
       3.36834099e-04, 9.11540236e-05, 2.22651641e-04, 2.50489784e-03,
       8.78526878e-04, 3.77206919e-03, 3.48054897e-03, 2.78683708e-03,
       3.69270816e-03, 2.68202360e-03, 1.80501317e-03, 6.66883312e-04,
       1.02190783e-03, 2.12131432e-03, 4.54943809e-03, 2.57768223e-04,
       2.25947309e-04, 2.35981850e-03, 1.13503535e-03, 2.55218560e-04,
       2.09516077e-03, 5.47676433e-03, 1.82333105e-04, 7.62299833e-04,
       1.75961736e-03, 6.48600852e-04, 4.97483939e-04, 2.99906707e-04])]","[array([8.32670112e+03, 9.77698915e+00, 2.82510242e-01, 3.37908304e-02,
       7.31804922e-03, 2.49252930e-02, 2.00775432e-02, 1.06038721e-01,
       9.52949455e-03, 1.09030199e-01, 6.82879261e-03, 1.00283838e-02,
       3.48507928e-03, 1.11971473e-03, 2.29313210e-02, 6.42592585e-02,
       2.43295105e-02, 3.28375291e-02, 4.77614556e-02, 1.69488283e-02,
       2.43364126e-02, 2.63170626e-02, 1.57445043e-02, 1.02251288e-02,
       4.40241944e-02, 2.22988996e-02, 1.97180244e-02, 4.03191096e-02,
       2.34267137e-02, 1.09982282e-02, 1.44174979e-02, 1.70499009e-02,
       2.11154115e-02, 3.78165752e-02, 2.12614175e-02, 1.72958986e-02,
       1.88934459e-02, 6.59453362e-03, 1.31282644e-02, 1.46352244e-02])]","[array([0.7208362 , 0.20631662, 0.18631379, 0.15142481, 0.10038426,
       0.13926886, 0.13299593, 0.1947939 , 0.10490802, 0.20279193,
       0.0969191 , 0.10610299, 0.07814628, 0.05828512, 0.14087991,
       0.17574955, 0.13575528, 0.14371774, 0.16542814, 0.12801176,
       0.14656309, 0.14729914, 0.12055308, 0.12277891, 0.16291656,
       0.13755035, 0.11919383, 0.17682953, 0.14172871, 0.10298742,
       0.12297171, 0.11621365, 0.12854055, 0.16662662, 0.13864688,
       0.12248249, 0.13633786, 0.09529388, 0.11938547, 0.11657933])]",8.166771357005928
2,PredictiveDecorrBSS,200,0.0,25.74373969263779,"[array([26.17410525, 25.30849416, 25.34105369, 26.23282744, 25.74538643])]",30,"[array([3.72189894e+00, 8.35331653e-03, 2.70531072e-03, 9.27605554e-03,
       8.19861707e-03, 2.37013983e-03, 4.02061682e-03, 4.09675500e-03,
       2.69777135e-04, 3.67602501e-04, 9.66437700e-03, 1.62605932e-05,
       1.22484893e-03, 3.69966270e-04, 1.30069028e-04, 4.57498675e-03,
       7.11409664e-04, 1.18201620e-02, 1.06557795e-03, 8.76327316e-04,
       3.99412913e-04, 2.57585197e-04, 4.64731687e-03, 4.58919475e-04,
       7.22602859e-04, 2.11404932e-03, 2.61678431e-04, 2.10010297e-03,
       2.54236654e-03, 1.03067917e-04, 1.60717914e-04, 6.69378261e-04,
       1.59889232e-03, 2.29286627e-03, 1.36719472e-03, 1.02305164e-04,
       1.43218308e-03, 7.41257420e-04, 1.09262725e-03, 1.86132991e-03])]","[array([2.32566860e+08, 8.39145564e-02, 1.88573002e-02, 6.55273867e-02,
       5.16021944e-02, 9.92751525e-03, 1.98711861e-02, 1.72335575e-02,
       1.09151239e-02, 4.10241861e-03, 8.48082857e-02, 2.75106445e-02,
       1.41414176e-02, 3.95895956e-02, 1.73263760e-02, 4.97083334e-02,
       2.08740905e-02, 7.21961854e-02, 3.44584006e-02, 1.14175516e-02,
       3.74443018e-03, 2.96564460e-03, 3.17394903e-02, 1.93284562e-02,
       9.30841195e-03, 2.84710657e-02, 5.10967982e-03, 4.26590601e-02,
       4.59778912e-02, 1.16108401e-02, 6.45500304e-03, 1.68249228e-02,
       1.27446257e-02, 1.28511283e-02, 1.04408484e-02, 2.67947310e-03,
       1.26304914e-02, 2.62301543e-02, 1.24628009e-02, 1.48522524e-02])]","[array([0.81912125, 0.1282005 , 0.10696342, 0.18033455, 0.15712253,
       0.10350223, 0.12737258, 0.11884724, 0.10989446, 0.0874126 ,
       0.20110181, 0.13078768, 0.11212565, 0.16657746, 0.12202646,
       0.16295619, 0.1370285 , 0.15220698, 0.15617509, 0.11629129,
       0.08239819, 0.07699136, 0.14194775, 0.13754056, 0.10617125,
       0.13944189, 0.09390287, 0.15479769, 0.17550988, 0.11589737,
       0.10060826, 0.12622953, 0.11360159, 0.1186679 , 0.10057457,
       0.08017025, 0.11100869, 0.14350716, 0.12087815, 0.12578396])]",8.587130988016725
3,PredictiveDecorrBSS,300,0.0,26.389236500948023,"[array([25.17998768, 27.05990673, 28.21536106, 26.41474598, 25.71150593])]",30,"[array([6.19674869e+00, 4.10820264e-01, 2.80647907e-01, 4.62965886e-03,
       6.41745543e-03, 1.36562506e-04, 1.63985456e-03, 4.42973876e-04,
       1.82942241e-03, 3.54090598e-05, 7.54478216e-05, 3.74217506e-03,
       4.79776484e-03, 4.67939230e-03, 2.86004122e-03, 1.06067172e-03,
       8.11319018e-04, 7.87119885e-04, 1.19761899e-03, 9.97836602e-04,
       2.13832350e-03, 2.80857130e-03, 2.59763148e-03, 5.14327133e-04,
       1.38010568e-03, 7.70210279e-04, 2.79479293e-03, 1.41614308e-03,
       4.75669614e-03, 1.59345748e-03, 1.34853859e-03, 6.16479506e-04,
       6.50107610e-04, 1.20202304e-03, 1.23207619e-04, 1.08429749e-03,
       4.82938199e-04, 4.79365773e-04, 1.56366062e-04, 2.24619915e-03])]","[array([2.73924231e+10, 4.53727006e+01, 3.49245242e+01, 1.65668713e-02,
       3.57834734e-02, 2.05846464e-02, 3.59182637e-02, 1.01218628e-02,
       1.33261982e-02, 6.03272246e-03, 1.26997957e-02, 2.64318951e-02,
       2.95370966e-02, 2.45881238e-02, 2.29486429e-02, 4.32727853e-03,
       6.77779524e-03, 5.14887264e-03, 1.34854513e-02, 7.68162540e-03,
       1.51602402e-02, 2.09726176e-02, 3.35480076e-02, 3.15806987e-03,
       1.86269597e-02, 1.24777737e-02, 4.27803228e-02, 6.24489433e-03,
       2.55193832e-02, 1.69922841e-02, 2.88890012e-02, 4.29747207e-03,
       5.61437922e-03, 1.75159151e-02, 1.15791027e-02, 7.59142529e-03,
       9.99517250e-03, 4.86698690e-03, 2.31316401e-03, 3.48867225e-02])]","[array([0.72688592, 0.2476132 , 0.24914091, 0.10694854, 0.15037111,
       0.13726944, 0.16732308, 0.11311377, 0.12386854, 0.09436008,
       0.11869451, 0.13599222, 0.13677669, 0.12374779, 0.14337978,
       0.08106094, 0.09866395, 0.09614905, 0.12455808, 0.09791724,
       0.12596304, 0.12754642, 0.15820187, 0.07409996, 0.13200913,
       0.10753465, 0.16029205, 0.08492056, 0.1385281 , 0.13727003,
       0.14653647, 0.08470901, 0.09444688, 0.12989843, 0.11381569,
       0.09834428, 0.11222831, 0.0887054 , 0.06726084, 0.14835661])]",8.636818345985375
4,PredictiveDecorrBSS,400,0.0,26.958776113837885,"[array([26.92741691, 29.11186564, 25.88104466, 26.12935676, 27.45460041])]",30,"[array([2.62235363e+00, 1.56364039e-02, 5.75808993e-03, 4.58089479e-03,
       1.64538867e-03, 3.05413434e-03, 1.91367454e-04, 1.15470565e-03,
       1.01806627e-03, 2.67375054e-03, 3.46955152e-04, 1.25600064e-05,
       3.12099884e-04, 9.96274111e-04, 1.62832098e-03, 1.91339528e-03,
       4.57692927e-04, 2.24323869e-03, 4.27691437e-03, 5.36680703e-03,
       1.08110594e-03, 2.04715687e-03, 3.56291325e-04, 1.88978377e-04,
       5.78596767e-04, 7.38829097e-04, 1.40363927e-03, 9.32119103e-04,
       2.69141741e-03, 5.45571988e-04, 7.92194204e-04, 2.30792661e-03,
       1.91449512e-03, 2.15114928e-03, 2.50011741e-04, 2.60585658e-04,
       2.03006540e-04, 1.81917367e-04, 1.59936740e-03, 5.40600434e-04])]","[array([6.35559116e+06, 3.99795337e-01, 3.89492499e-02, 4.79169002e-02,
       8.32257675e-03, 2.32006141e-02, 2.83660470e-02, 6.48583452e-03,
       4.20349609e-02, 1.63801498e-02, 6.72405749e-02, 1.05653294e-02,
       1.58473593e-02, 1.39672736e-02, 1.29100881e-02, 2.03527708e-02,
       1.01588828e-02, 1.27695271e-02, 2.21267003e-02, 3.72890311e-02,
       8.27465729e-03, 1.36999926e-02, 7.32246041e-03, 1.07209510e-02,
       2.86529017e-03, 8.01346203e-03, 2.07406405e-02, 2.22555641e-02,
       2.77558973e-02, 5.37106219e-03, 9.29520549e-03, 2.42324075e-02,
       9.34397918e-03, 2.85086484e-02, 4.32475070e-03, 1.61204826e-02,
       1.23214212e-02, 2.18994966e-03, 1.14287063e-02, 6.67094320e-03])]","[array([0.71080903, 0.14531737, 0.13757326, 0.16903373, 0.09887142,
       0.13461617, 0.14991822, 0.09630797, 0.14648111, 0.11673274,
       0.1774296 , 0.11161553, 0.13197311, 0.1310062 , 0.11407955,
       0.1270817 , 0.1081995 , 0.11801679, 0.13588206, 0.1506882 ,
       0.09873021, 0.11298898, 0.10937069, 0.11679825, 0.07402481,
       0.10364595, 0.13620769, 0.1301784 , 0.1604003 , 0.08868585,
       0.12131404, 0.13072763, 0.10491306, 0.1415294 , 0.08969599,
       0.12940577, 0.1261043 , 0.07250711, 0.10971472, 0.10084137])]",8.584135807992425
5,PredictiveDecorrBSS,500,0.0,24.44939050173594,"[array([24.47784387, 26.20750099, 23.98498244, 23.43786873, 24.60649138])]",30,"[array([1.31721393e+00, 1.63087649e-01, 2.09968309e-01, 4.89094306e-02,
       9.96828243e-03, 4.66074357e-02, 1.16538766e-02, 3.91214129e-03,
       4.82172625e-03, 1.31286859e-03, 1.81560730e-03, 1.97072035e-03,
       1.54806587e-04, 7.31887401e-05, 1.87040068e-05, 2.25429962e-04,
       1.24877809e-03, 5.66689014e-04, 4.53392939e-03, 2.01103908e-03,
       1.05948144e-03, 1.87820560e-03, 2.46553736e-03, 7.17144883e-04,
       1.07466906e-04, 8.02877497e-04, 1.52328257e-03, 3.81823990e-03,
       1.14295037e-04, 1.25721550e-03, 3.20746514e-03, 1.05329979e-03,
       9.16822133e-04, 8.40923474e-04, 1.09750009e-03, 6.91296578e-05,
       1.36847304e-04, 4.56419245e-03, 1.43691327e-03, 8.42170798e-04])]","[array([2.53191315e+03, 8.20778107e+00, 8.07106896e+00, 7.21838809e-01,
       6.36803286e-01, 4.22325695e-01, 6.01211983e-02, 8.12260919e-02,
       4.04166161e-02, 3.03042411e-02, 8.89634681e-03, 7.07583812e-03,
       2.95115659e-02, 6.47601435e-03, 5.87404613e-03, 7.68607183e-03,
       2.10673927e-02, 5.33330878e-03, 2.26883516e-02, 2.95985030e-02,
       1.38819611e-02, 6.05414106e-02, 1.27177649e-02, 7.53800338e-03,
       1.38238762e-02, 6.05742003e-03, 2.40417890e-02, 3.76886951e-02,
       1.83019818e-03, 1.59288434e-02, 2.32989477e-02, 5.22554233e-03,
       5.24225747e-03, 1.51745680e-02, 2.62531849e-02, 4.30694851e-03,
       1.45716965e-02, 3.27241652e-02, 1.76336924e-02, 2.20461575e-02])]","[array([0.65356948, 0.19214351, 0.20116033, 0.19076501, 0.21792682,
       0.19184045, 0.13215129, 0.17021193, 0.1409199 , 0.13629196,
       0.10114646, 0.09010302, 0.14606129, 0.09871231, 0.09722888,
       0.08977229, 0.14302123, 0.08440255, 0.12610345, 0.14285392,
       0.12164369, 0.16149781, 0.10910745, 0.10177587, 0.12781615,
       0.09152956, 0.1412002 , 0.16573893, 0.07052905, 0.13964291,
       0.13665464, 0.08709929, 0.08759375, 0.11467445, 0.14314139,
       0.08928999, 0.12349934, 0.14924318, 0.13635245, 0.1291902 ])]",8.660967844945844
6,PredictiveDecorrBSS,600,0.0,24.09269046028616,"[array([24.77413784, 23.47557912, 25.61215277, 23.11863173, 23.92453105])]",30,"[array([7.69439322e-01, 1.85250177e-01, 4.04113327e-02, 2.09788300e-03,
       2.51613221e-03, 2.39031996e-04, 2.08974292e-03, 2.11364835e-03,
       3.62927589e-05, 5.56658291e-03, 5.48594463e-04, 9.25053991e-04,
       4.34071343e-04, 3.37298452e-03, 2.89120718e-03, 1.17783483e-03,
       4.27564630e-03, 6.93795701e-04, 1.07005028e-03, 1.47117059e-03,
       1.33314832e-03, 1.13455602e-03, 1.91991812e-03, 1.40105258e-02,
       2.17462876e-03, 1.39174823e-03, 6.64085553e-04, 2.10829673e-04,
       5.21431019e-04, 3.26136951e-04, 1.66235484e-03, 2.31029515e-03,
       1.03434424e-03, 5.51658739e-03, 4.36415680e-04, 3.72462039e-03,
       5.11217676e-05, 1.27817681e-03, 1.37698444e-03, 4.52593273e-03])]","[array([2.35817585e+03, 6.28933644e+00, 7.78279299e-01, 4.54818214e-02,
       4.64935876e-02, 4.04903925e-03, 1.22115935e-02, 2.75486137e-02,
       1.60251765e-03, 3.90652161e-02, 1.00025671e-02, 4.45953051e-02,
       1.93319946e-02, 4.22851122e-02, 1.54244322e-02, 8.08732056e-03,
       4.79851587e-02, 2.12273964e-02, 6.43860100e-03, 5.99185379e-03,
       1.47576559e-02, 1.50241877e-02, 1.83740823e-02, 5.82715943e-02,
       1.55317537e-02, 1.44714265e-02, 5.34961312e-03, 3.53213901e-03,
       1.04812623e-02, 1.23543575e-02, 1.94084009e-02, 1.72959986e-02,
       1.03843964e-02, 4.80794746e-02, 2.81077078e-03, 1.97660393e-02,
       2.25125312e-03, 1.30479056e-02, 1.77358498e-02, 3.19304120e-02])]","[array([0.61888626, 0.19725708, 0.16335298, 0.12042139, 0.14815208,
       0.08305074, 0.11491771, 0.15347229, 0.06926603, 0.15246682,
       0.10953655, 0.16307869, 0.13430857, 0.16091657, 0.1192533 ,
       0.10108879, 0.16134816, 0.13444905, 0.09759878, 0.08474463,
       0.11189371, 0.1142239 , 0.12175782, 0.15588555, 0.10987953,
       0.11518967, 0.09550868, 0.07628929, 0.11308764, 0.11541197,
       0.14125521, 0.12280491, 0.10380488, 0.15440802, 0.08403353,
       0.12134516, 0.06825384, 0.11807147, 0.12897036, 0.14123675])]",8.564874890027568
7,PredictiveDecorrBSS,700,0.0,25.070424478162895,"[array([24.48465511, 28.48589209, 23.64716681, 26.60537542, 23.9181587 ])]",30,"[array([6.59721284e+00, 3.96278457e-01, 3.19745509e-02, 1.35989825e-03,
       1.15074245e-03, 3.78346749e-03, 6.24319852e-04, 5.47878990e-04,
       5.28743412e-04, 5.00596689e-04, 4.79361710e-03, 4.71902252e-04,
       4.81868566e-03, 3.52044109e-03, 2.93542532e-04, 1.54806991e-03,
       4.88936970e-04, 3.07919980e-03, 9.55548596e-04, 9.92333981e-04,
       2.89850942e-04, 2.73290817e-03, 1.31419241e-03, 3.03367833e-04,
       1.04243704e-03, 1.00966973e-03, 6.78944606e-04, 8.73906450e-04,
       1.77685522e-03, 9.44624314e-04, 1.03347406e-03, 7.07781834e-04,
       5.56740500e-03, 2.71263362e-03, 3.56778436e-03, 4.10703629e-04,
       8.81162181e-05, 1.96213126e-03, 8.81218066e-05, 4.86940820e-04])]","[array([1.06735400e+10, 1.39093636e+02, 4.23260490e-01, 1.54476288e-02,
       8.52699370e-03, 4.17088626e-02, 3.62149899e-03, 2.15022118e-02,
       6.26587531e-03, 4.24341497e-03, 3.61847771e-02, 3.70601347e-02,
       4.00761590e-02, 5.45141002e-02, 1.04260621e-02, 1.62029929e-02,
       6.79138522e-03, 2.36464611e-02, 1.16745255e-02, 2.01721241e-02,
       9.77944094e-03, 2.23515461e-02, 9.97638245e-03, 2.26126594e-02,
       1.26049044e-02, 3.91159687e-03, 8.27922953e-03, 3.05545469e-02,
       1.13719520e-02, 9.29943739e-03, 5.32250445e-02, 7.22510280e-03,
       3.27955725e-02, 2.43182150e-02, 3.40282713e-02, 7.22770196e-03,
       1.19091273e-02, 2.21243362e-02, 1.41075994e-02, 1.20277313e-02])]","[array([0.74646518, 0.29019861, 0.18396273, 0.10942773, 0.09847193,
       0.15826383, 0.07607264, 0.14526895, 0.09713235, 0.07795838,
       0.15063841, 0.13347244, 0.14742512, 0.16778727, 0.10295085,
       0.12474648, 0.10415443, 0.12638468, 0.11873318, 0.14540607,
       0.11931157, 0.14908985, 0.11316265, 0.14052785, 0.11751476,
       0.07869875, 0.10771925, 0.14139634, 0.10151664, 0.10090481,
       0.1564868 , 0.10130339, 0.1281779 , 0.13573169, 0.13954316,
       0.09842308, 0.12097183, 0.13714605, 0.12079698, 0.11509509])]",8.639834325993434
8,PredictiveDecorrBSS,800,0.0,25.612668990391086,"[array([26.08369624, 25.07993437, 24.34498127, 26.57086437, 26.39980788])]",30,"[array([1.37594434e+00, 4.97708389e-01, 1.61436964e-03, 2.05782909e-03,
       1.18409834e-04, 1.85204512e-05, 2.98982248e-04, 1.38650388e-04,
       4.42978329e-04, 2.73459463e-03, 8.35193827e-04, 2.48852002e-03,
       3.13659865e-03, 3.96008119e-05, 3.95634910e-04, 6.32672310e-03,
       5.63189176e-04, 2.56229031e-04, 2.34532298e-03, 6.53268023e-04,
       3.84355440e-04, 8.41145119e-04, 3.40888117e-04, 3.47435542e-04,
       5.70693191e-05, 1.59488414e-03, 1.95553415e-03, 3.08603467e-05,
       4.83991922e-05, 8.05235038e-04, 3.27035483e-04, 5.89597904e-04,
       6.96070696e-04, 5.15283071e-03, 2.40436302e-03, 1.14351123e-03,
       4.53674030e-04, 2.72605852e-03, 1.19367800e-04, 9.31709964e-04])]","[array([2.15783199e+04, 9.79393465e+01, 3.31690227e-02, 1.57804304e-02,
       5.09641406e-03, 1.70253828e-03, 6.19044728e-03, 8.25155536e-04,
       2.71686260e-03, 2.22898902e-02, 1.16266565e-02, 2.61169141e-02,
       1.83361934e-02, 7.45003275e-03, 6.71006158e-03, 3.37656125e-02,
       1.49466962e-02, 4.97173046e-03, 1.73927022e-02, 1.45088875e-02,
       1.60856295e-02, 9.95263791e-03, 2.52951987e-03, 1.06185729e-02,
       1.09136233e-02, 3.54704388e-02, 4.70387401e-02, 7.66491882e-03,
       9.23581766e-03, 6.34095025e-03, 8.03340815e-03, 2.19455793e-02,
       1.60483871e-02, 6.94398720e-02, 2.04174456e-02, 1.12294274e-02,
       2.13339559e-02, 4.10850650e-02, 8.51695984e-03, 1.09304432e-02])]","[array([0.40498413, 0.26847719, 0.12039691, 0.11928574, 0.09788505,
       0.06208732, 0.10167167, 0.052684  , 0.07599197, 0.13311252,
       0.11651255, 0.14368707, 0.12519931, 0.1038781 , 0.09835649,
       0.14292819, 0.11793827, 0.09098998, 0.12693399, 0.11783003,
       0.13430389, 0.11246783, 0.07690087, 0.10268875, 0.12105033,
       0.16658154, 0.15808058, 0.1043164 , 0.11364351, 0.09828243,
       0.10428739, 0.16073907, 0.12061883, 0.15881622, 0.13761833,
       0.11870378, 0.13411928, 0.15629483, 0.10524315, 0.11517094])]",8.662441852036864
9,PredictiveDecorrBSS,900,0.0,26.114385964017927,"[array([23.95100293, 28.82639835, 25.67510379, 26.22894671, 27.43942679])]",30,"[array([8.12125202e-01, 3.98385299e-04, 1.80414626e-04, 1.29042911e-03,
       2.33779193e-03, 2.44252222e-03, 3.32201957e-03, 5.74818808e-04,
       1.72816181e-03, 3.95769826e-04, 1.76066314e-04, 6.20406077e-03,
       8.70664543e-05, 4.25756114e-03, 1.13512135e-03, 6.10521102e-04,
       9.22949565e-04, 1.01662556e-03, 1.29613124e-05, 2.51162225e-03,
       2.92892827e-04, 1.80987674e-03, 6.10250579e-06, 1.00522498e-02,
       6.95962954e-05, 5.19379665e-03, 9.56379215e-04, 2.46504345e-04,
       3.09216366e-05, 1.91238560e-04, 3.85473765e-03, 5.62818620e-04,
       1.48174986e-03, 6.09400021e-04, 1.17570075e-03, 3.74216596e-04,
       6.82474295e-04, 9.80785735e-04, 2.75216763e-03, 2.61759753e-03])]","[array([9.31588232e+02, 9.47813683e-02, 6.48666787e-03, 2.23937435e-02,
       1.62490578e-02, 2.29237296e-02, 7.56268069e-02, 2.48932631e-02,
       1.41880356e-02, 4.24846519e-03, 1.12672209e-02, 6.15383650e-02,
       2.43623162e-03, 2.61034774e-02, 2.10796734e-02, 7.29468700e-03,
       2.62098395e-02, 4.75597844e-03, 1.11680350e-03, 3.00135157e-02,
       2.28074950e-02, 1.26736978e-02, 3.05435910e-03, 7.02339717e-02,
       8.87803189e-03, 2.91831885e-02, 2.62454719e-02, 1.09866047e-02,
       8.77758235e-04, 1.67982075e-03, 3.45028350e-02, 1.56854696e-02,
       3.57821572e-02, 1.09686044e-02, 1.91788475e-02, 4.35277439e-03,
       1.07866405e-02, 7.73192893e-03, 1.74693062e-02, 1.22751607e-02])]","[array([0.4868129 , 0.15217297, 0.09085541, 0.13968196, 0.10947495,
       0.13103767, 0.18916327, 0.12874256, 0.12027081, 0.08680851,
       0.1124509 , 0.17580024, 0.06929635, 0.13443083, 0.14305574,
       0.09840705, 0.13882812, 0.08510226, 0.05393474, 0.14715239,
       0.13466453, 0.11195105, 0.08316207, 0.16805354, 0.10619015,
       0.14861989, 0.14896098, 0.11261779, 0.05834676, 0.06209232,
       0.14220495, 0.12163273, 0.16045308, 0.11779899, 0.1321162 ,
       0.07895721, 0.12278621, 0.1084279 , 0.13105805, 0.10633279])]",8.596788304974325
